Match,Server Name,Receiver Name,Server hand,Receiver hand,Date,Tournament,Best of,Court,Surface,Count 4,Won 4,Count 5,Won 5,Count 6,Won 6
19600529-M-Roland_Garros-F-Nicola_Pietrangeli-Luis_Ayala,Nicola Pietrangeli,Luis Ayala,R,R,19600529,Roland Garros,5,Deuce,Clay,15,9,10,4,17,9
19600704-M-Wimbledon-F-Rod_Laver-Neale_Fraser,Rod Laver,Neale Fraser,L,L,19600704,Wimbledon,5,Deuce,Grass,44,26,5,4,19,12
19690703-M-Wimbledon-SF-Rod_Laver-Arthur_Ashe,Rod Laver,Arthur Ashe,L,R,19690703,Wimbledon,5,Deuce,Grass,19,11,10,5,19,11
19690706-M-Wimbledon-F-John_Newcombe-Rod_Laver,John Newcombe,Rod Laver,R,L,19690706,Wimbledon,5,Deuce,Grass,40,19,4,1,20,11
19690907-M-US_Open-F-Rod_Laver-Tony_Roche,Rod Laver,Tony Roche,L,L,19690907,US Open,5,Deuce,Grass,36,19,12,11,13,9
19700704-M-Wimbledon-F-John_Newcombe-Ken_Rosewall,John Newcombe,Ken Rosewall,R,R,19700704,Wimbledon,5,Deuce,Grass,21,15,7,2,48,35
19710704-M-Wimbledon-F-John_Newcombe-Stan_Smith,John Newcombe,Stan Smith,R,R,19710704,Wimbledon,5,Deuce,Grass,26,19,3,1,46,28
19710916-M-US_Open-F-Jan_Kodes-Stan_Smith,Jan Kodes,Stan Smith,R,R,19710916,US Open,5,Deuce,Grass,13,6,7,3,27,14
19720910-M-US_Open-F-Arthur_Ashe-Ilie_Nastase,Arthur Ashe,Ilie Nastase,R,R,19720910,US Open,5,Deuce,Grass,22,14,1,1,30,19
19730603-M-Roland_Garros-F-Nikola_Pilic-Ilie_Nastase,Nikola Pilic,Ilie Nastase,L,R,19730603,Roland Garros,5,Deuce,Clay,12,5,1,0,12,3
19730909-M-US_Open-F-Jan_Kodes-John_Newcombe,Jan Kodes,John Newcombe,R,R,19730909,US Open,5,Deuce,Grass,10,9,3,2,21,12
19740707-M-Wimbledon-F-Ken_Rosewall-Jimmy_Connors,Ken Rosewall,Jimmy Connors,R,L,19740707,Wimbledon,5,Deuce,Grass,27,13,6,3,4,1
19740714-M-Bastad-F-Bjorn_Borg-Adriano_Panatta,Bjorn Borg,Adriano Panatta,R,R,19740714,Bastad,5,Deuce,Clay,35,22,11,8,11,8
19740908-M-US_Open-F-Ken_Rosewall-Jimmy_Connors,Ken Rosewall,Jimmy Connors,R,L,19740908,US Open,5,Deuce,Grass,8,5,5,2,15,2
19750101-M-Australian_Open-F-Jimmy_Connors-John_Newcombe,Jimmy Connors,John Newcombe,L,R,19750101,Australian Open,5,Deuce,Grass,13,10,17,6,38,25
19750907-M-US_Open-F-Manuel_Orantes-Jimmy_Connors,Manuel Orantes,Jimmy Connors,L,L,19750907,US Open,5,Deuce,Clay,25,10,,,19,11
19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Bjorn Borg,Jiri Hrebec,R,R,19751219,Davis Cup World Group F,3,Deuce,Hard,20,16,5,4,10,4
19760611-M-Roland_Garros-QF-Raul_Ramirez-Balazs_Taroczy,Raul Ramirez,Balazs Taroczy,R,R,19760611,Roland Garros,5,Deuce,Clay,35,24,3,2,48,29
19770109-M-Australian_Open-F-Roscoe_Tanner-Guillermo_Vilas,Roscoe Tanner,Guillermo Vilas,L,L,19770109,Australian Open,5,Deuce,Grass,20,14,2,2,20,14
19770911-M-US_Open-F-Guillermo_Vilas-Jimmy_Connors,Guillermo Vilas,Jimmy Connors,L,L,19770911,US Open,5,Deuce,Clay,13,6,3,0,43,27
19780108-M-Tour_Finals-F-Bjorn_Borg-Jimmy_Connors,Bjorn Borg,Jimmy Connors,R,L,19780108,Tour Finals,3,Deuce,Carpet,30,17,,,8,3
19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Brian Gottfried,Bjorn Borg,R,R,19780125,Pepsi Grand Slam,3,Deuce,Clay,11,3,7,6,8,3
19780611-M-Roland_Garros-F-Bjorn_Borg-Guillermo_Vilas,Bjorn Borg,Guillermo Vilas,R,L,19780611,Roland Garros,5,Deuce,Clay,24,17,2,2,9,6
19790107-M-Australian_Open-F-John_Marks-Guillermo_Vilas,John Marks,Guillermo Vilas,R,L,19790107,Australian Open,5,Deuce,Grass,25,16,16,11,24,15
19790114-M-Masters-F-Arthur_Ashe-John_Mcenroe,Arthur Ashe,John Mcenroe,R,L,19790114,Masters,3,Deuce,Hard,21,18,2,0,17,10
19790922-M-Palermo-SF-Corrado_Barazzutti-Adriano_Panatta,Corrado Barazzutti,Adriano Panatta,R,R,19790922,Palermo,3,Deuce,Clay,11,9,14,9,1,0
19800113-M-Tour_Finals-F-Vitas_Gerulaitis-Bjorn_Borg,Vitas Gerulaitis,Bjorn Borg,R,R,19800113,Tour Finals,3,Deuce,Carpet,15,4,,,17,7
19800606-M-Roland_Garros-SF-Bjorn_Borg-Harold_Solomon,Bjorn Borg,Harold Solomon,R,R,19800606,Roland Garros,5,Deuce,Clay,16,12,5,3,15,9
19800608-M-Roland_Garros-F-Vitas_Gerulaitis-Bjorn_Borg,Vitas Gerulaitis,Bjorn Borg,R,R,19800608,Roland Garros,5,Deuce,Clay,19,9,1,0,23,11
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Bjorn Borg,L,R,19800705,Wimbledon,5,Deuce,Grass,33,22,24,20,36,22
19800705-M-Wimbledon-SF-Brian_Gottfried-Bjorn_Borg,Brian Gottfried,Bjorn Borg,R,R,19800705,Wimbledon,5,Deuce,Grass,20,12,1,0,25,11
19800906-M-US_Open-SF-Johan_Kriek-Bjorn_Borg,Johan Kriek,Bjorn Borg,R,R,19800906,US Open,5,Deuce,Hard,25,11,,,21,6
